gatefrom,gateto,count,hasEntryExit,hasTollbooth,hasServiceArea,posfrom,posto,highwayidfrom,highwayidto
16,4,4948871,true,false,true,60.5,46.5,1,1
10,18,4548320,true,false,false,54.5,66.8,1,1
20,2,4526667,true,false,true,88.4,74.6,1,1
8,3,4222881,false,false,false,117.8,124.7,1,1
1,12,4193572,false,false,false,124.7,113.8,1,1
25,20,4151760,true,false,false,106.1,88.4,1,1
18,23,4049623,false,false,true,66.8,80.8,1,1
15,5,3944693,true,false,false,98.4,106.1,1,1
2,16,3937487,false,false,false,74.6,60.5,1,1
3,13,3589946,true,false,false,124.7,134.5,1,1
5,8,3528727,true,false,true,106.1,117.8,1,1
23,15,3415773,true,false,false,80.8,98.4,1,1
22,1,3076476,true,true,false,135.3,124.7,1,1
12,25,2653571,true,false,true,113.8,106.1,1,1
26,10,2582013,true,false,true,48.5,54.5,1,1
13,22,2503398,,,,,,,
9,26,2297270,true,false,false,31.8,48.5,1,1
5,14,2026739,false,false,true,106.1,9.2,1,3
7,17,1865296,,,,,,,
4,9,1737376,,,,,,,
23,5,1636962,true,false,false,80.8,106.1,1,1
6,24,1582320,,,,,,,
11,19,1525032,true,false,true,16.6,3.2,3,3
14,19,1509235,,,,,,,
12,14,1408845,true,false,false,113.8,9.2,1,3
19,25,1328047,false,false,true,3.2,106.1,3,1
17,7,1268746,,,,,,,
24,6,1224878,,,,,,,
19,8,1145916,true,false,false,3.2,117.8,3,1
9,10,1096818,true,false,true,31.8,54.5,1,1
12,20,1087179,true,false,true,113.8,88.4,1,1
4,10,1081996,,,,,,,
14,11,1045749,,,,,,,
2,7,969125,false,false,true,74.6,2.7,1,2
17,23,904536,false,false,true,2.7,80.8,2,1
20,16,888294,true,false,true,88.4,60.5,1,1
21,21,868333,,,,,,,
8,12,861907,,,,,,,
27,9,817428,true,true,false,22.6,31.8,1,1
3,1,792112,,,,,,,
7,6,780315,true,true,true,2.7,46.2,2,2
10,23,738612,true,false,true,54.5,80.8,1,1
24,17,724666,true,true,true,46.2,2.7,2,2
13,1,698137,,,,,,,
21,27,641042,,,,,,,
2,4,547531,true,false,true,74.6,46.5,1,1
19,20,526110,true,false,true,3.2,88.4,3,1
18,7,525700,false,false,true,66.8,2.7,1,2
27,27,506053,,,,,,,
17,16,499375,false,false,true,2.7,60.5,2,1
26,18,492566,true,false,true,48.5,66.8,1,1
25,2,472277,true,false,true,106.1,74.6,1,1
18,15,459016,true,false,true,66.8,98.4,1,1
4,27,457047,,,,,,,
4,21,453021,true,true,false,46.5,20.8,1,1
4,26,436776,,,,,,,
23,2,383793,,,,,,,
7,7,364368,,,,,,,
9,9,354071,,,,,,,
24,24,349421,,,,,,,
11,25,346222,true,false,true,16.6,106.1,3,1
12,8,340441,,,,,,,
18,5,325475,true,false,true,66.8,106.1,1,1
27,21,322621,,,,,,,
3,22,321355,,,,,,,
19,14,313739,,,,,,,
1,3,293021,,,,,,,
