gatefrom,gateto,hasEntryExit,hasTollbooth,hasServiceArea
1,2,true,false,true
1,4,true,false,true
1,12,false,false,false
1,16,true,false,true
1,20,true,false,true
1,21,true,true,true
1,25,true,false,true
1,28,true,true,true
2,4,true,false,true
2,16,false,false,false
2,21,true,true,true
2,28,true,true,true
3,13,true,false,false
4,21,true,true,false
4,28,true,true,false
5,3,true,false,true
5,8,true,false,true
5,13,true,false,true
5,14,false,false,true
7,6,true,true,true
8,3,false,false,false
8,13,true,false,false
9,26,true,false,false
10,3,true,false,true
10,5,true,false,true
10,6,true,true,true
10,7,true,false,true
10,8,true,false,true
10,13,true,false,true
10,14,true,false,true
10,15,true,false,true
10,18,true,false,false
10,23,true,false,true
11,2,true,false,true
11,4,true,false,true
11,16,true,false,true
11,19,true,false,true
11,20,true,false,true
11,21,true,true,true
11,25,true,false,true
11,28,true,true,true
12,2,true,false,true
12,4,true,false,true
12,16,true,false,true
12,20,true,false,true
12,21,true,true,true
12,25,true,false,true
12,28,true,true,true
15,3,true,false,true
15,5,true,false,false
15,8,true,false,true
15,13,true,false,true
15,14,true,false,true
16,4,true,false,true
16,21,true,true,true
16,28,true,true,true
17,4,true,false,true
17,16,false,false,true
17,21,true,true,true
17,28,true,true,true
18,3,true,false,true
18,5,true,false,true
18,6,true,true,true
18,7,false,false,true
18,8,true,false,true
18,13,true,false,true
18,14,true,false,true
18,15,true,false,true
18,23,false,false,true
19,2,true,false,true
19,4,true,false,true
19,16,true,false,true
19,20,true,false,true
19,21,true,true,true
19,25,false,false,true
19,28,true,true,true
20,2,true,false,true
20,4,true,false,true
20,16,true,false,true
20,21,true,true,true
20,28,true,true,true
22,1,true,true,false
22,2,true,true,true
22,4,true,true,true
22,12,true,true,false
22,16,true,true,true
22,20,true,true,true
22,21,true,true,true
22,25,true,true,true
22,28,true,true,true
23,3,true,false,true
23,5,true,false,false
23,8,true,false,true
23,13,true,false,true
23,14,true,false,true
23,15,true,false,false
24,4,true,true,true
24,16,true,true,true
24,17,true,true,true
24,21,true,true,true
24,28,true,true,true
25,2,true,false,true
25,4,true,false,true
25,16,true,false,true
25,20,true,false,false
25,21,true,true,true
25,28,true,true,true
27,9,true,true,false
27,26,true,true,false
28,21,true,true,false
29,3,true,false,true
29,5,true,false,true
29,6,true,true,true
29,7,true,false,true
29,8,true,false,true
29,10,true,false,true
29,13,true,false,true
29,14,true,false,true
29,15,true,false,true
29,18,true,false,true
29,23,true,false,true
